"State","Residential","Commercial","Industrial"
"Alabama",-0.602501419866741,-5.08738151747373,-11.2785290451403
"Arkansas",-2.86707814882174,-4.18785402565576,-17.8872946853242
"Florida",-10.186806838513,-15.1266433940886,-18.6086868166616
"Georgia",-8.40135777007397,-19.2137697887159,-18.1667180364365
"Kentucky",-3.58457131383908,-7.02348311369085,-13.2378315895309
"Louisiana",-8.20762757385579,-13.9991158499893,-30.5191100375114
"Mississippi",-11.397881492395,-15.2733149236397,-23.0450286666213
"North Carolina",-3.9986655355176,-8.92033653914391,-10.7149933694296
"South Carolina",-14.3478315448035,-22.3291415656251,-18.1725002856478
"Tennessee",-8.29703215620565,-11.808039019379,-26.7719990929174
"Virginia",-1.14310176249475,-17.3087794702472,-3.82972762759669
"West Virginia",22.0100550617823,9.94405558425533,0.410350874958909
