State,Sector,Year,Cost,Type
Alabama,Residential,2014,14.62,natural_gas
Alabama,Residential,2015,14.13,natural_gas
Alabama,Residential,2016,14.06,natural_gas
Alabama,Residential,2017,16.12,natural_gas
Alabama,Residential,2018,15.22,natural_gas
Alabama,Residential,2019,15.63,natural_gas
Alabama,Residential,2020,16.01,natural_gas
Alabama,Residential,2021,15.72,natural_gas
Alabama,Residential,2022,17.36,natural_gas
Alabama,Residential,2023,20.1,natural_gas
Alabama,Residential,2024,18.46,natural_gas
Alabama,Commercial,2014,11.98,natural_gas
Alabama,Commercial,2015,11.18,natural_gas
Alabama,Commercial,2016,10.66,natural_gas
Alabama,Commercial,2017,12.04,natural_gas
Alabama,Commercial,2018,11.89,natural_gas
Alabama,Commercial,2019,11.87,natural_gas
Alabama,Commercial,2020,11.93,natural_gas
Alabama,Commercial,2021,12.03,natural_gas
Alabama,Commercial,2022,13.57,natural_gas
Alabama,Commercial,2023,15.02,natural_gas
Alabama,Commercial,2024,13.9,natural_gas
Alabama,Industrial,2014,5.49,natural_gas
Alabama,Industrial,2015,4.09,natural_gas
Alabama,Industrial,2016,3.79,natural_gas
Alabama,Industrial,2017,4.23,natural_gas
Alabama,Industrial,2018,4.22,natural_gas
Alabama,Industrial,2019,3.95,natural_gas
Alabama,Industrial,2020,3.54,natural_gas
Alabama,Industrial,2021,4.86,natural_gas
Alabama,Industrial,2022,7.87,natural_gas
Alabama,Industrial,2023,4.53,natural_gas
Alabama,Industrial,2024,NA,natural_gas
Arkansas,Residential,2014,10.39,natural_gas
Arkansas,Residential,2015,11.58,natural_gas
Arkansas,Residential,2016,11.17,natural_gas
Arkansas,Residential,2017,12.97,natural_gas
Arkansas,Residential,2018,11.77,natural_gas
Arkansas,Residential,2019,11.05,natural_gas
Arkansas,Residential,2020,12.28,natural_gas
Arkansas,Residential,2021,12.55,natural_gas
Arkansas,Residential,2022,16.95,natural_gas
Arkansas,Residential,2023,17.86,natural_gas
Arkansas,Residential,2024,NA,natural_gas
Arkansas,Commercial,2014,7.88,natural_gas
Arkansas,Commercial,2015,8.43,natural_gas
Arkansas,Commercial,2016,7.14,natural_gas
Arkansas,Commercial,2017,8.34,natural_gas
Arkansas,Commercial,2018,7.95,natural_gas
Arkansas,Commercial,2019,7.68,natural_gas
Arkansas,Commercial,2020,7.65,natural_gas
Arkansas,Commercial,2021,8.48,natural_gas
Arkansas,Commercial,2022,12.89,natural_gas
Arkansas,Commercial,2023,12.53,natural_gas
Arkansas,Commercial,2024,10.19,natural_gas
Arkansas,Industrial,2014,6.99,natural_gas
Arkansas,Industrial,2015,6.91,natural_gas
Arkansas,Industrial,2016,5.78,natural_gas
Arkansas,Industrial,2017,6.65,natural_gas
Arkansas,Industrial,2018,6.78,natural_gas
Arkansas,Industrial,2019,6.25,natural_gas
Arkansas,Industrial,2020,6.25,natural_gas
Arkansas,Industrial,2021,7.76,natural_gas
Arkansas,Industrial,2022,10.46,natural_gas
Arkansas,Industrial,2023,9.45,natural_gas
Arkansas,Industrial,2024,7.58,natural_gas
Florida,Residential,2014,19.02,natural_gas
Florida,Residential,2015,19.34,natural_gas
Florida,Residential,2016,20.27,natural_gas
Florida,Residential,2017,21.15,natural_gas
Florida,Residential,2018,21.34,natural_gas
Florida,Residential,2019,21.66,natural_gas
Florida,Residential,2020,21.38,natural_gas
Florida,Residential,2021,22.9,natural_gas
Florida,Residential,2022,26.34,natural_gas
Florida,Residential,2023,25.17,natural_gas
Florida,Residential,2024,26.02,natural_gas
Florida,Commercial,2014,11.42,natural_gas
Florida,Commercial,2015,10.88,natural_gas
Florida,Commercial,2016,10.42,natural_gas
Florida,Commercial,2017,10.97,natural_gas
Florida,Commercial,2018,11.2,natural_gas
Florida,Commercial,2019,11.46,natural_gas
Florida,Commercial,2020,11.47,natural_gas
Florida,Commercial,2021,12.08,natural_gas
Florida,Commercial,2022,14.3,natural_gas
Florida,Commercial,2023,13.54,natural_gas
Florida,Commercial,2024,11.81,natural_gas
Florida,Industrial,2014,6.89,natural_gas
Florida,Industrial,2015,6.43,natural_gas
Florida,Industrial,2016,5.77,natural_gas
Florida,Industrial,2017,6.17,natural_gas
Florida,Industrial,2018,6.38,natural_gas
Florida,Industrial,2019,6.16,natural_gas
Florida,Industrial,2020,5.55,natural_gas
Florida,Industrial,2021,6.31,natural_gas
Florida,Industrial,2022,9.38,natural_gas
Florida,Industrial,2023,7.17,natural_gas
Florida,Industrial,2024,4.67,natural_gas
Georgia,Residential,2014,14.45,natural_gas
Georgia,Residential,2015,14.62,natural_gas
Georgia,Residential,2016,14.56,natural_gas
Georgia,Residential,2017,16.93,natural_gas
Georgia,Residential,2018,13.98,natural_gas
Georgia,Residential,2019,14.88,natural_gas
Georgia,Residential,2020,15.45,natural_gas
Georgia,Residential,2021,15.91,natural_gas
Georgia,Residential,2022,18.06,natural_gas
Georgia,Residential,2023,19.03,natural_gas
Georgia,Residential,2024,19.81,natural_gas
Georgia,Commercial,2014,9.86,natural_gas
Georgia,Commercial,2015,8.58,natural_gas
Georgia,Commercial,2016,7.92,natural_gas
Georgia,Commercial,2017,8.78,natural_gas
Georgia,Commercial,2018,8.17,natural_gas
Georgia,Commercial,2019,8.21,natural_gas
Georgia,Commercial,2020,7.69,natural_gas
Georgia,Commercial,2021,8.59,natural_gas
Georgia,Commercial,2022,11.4,natural_gas
Georgia,Commercial,2023,10.74,natural_gas
Georgia,Commercial,2024,9.35,natural_gas
Georgia,Industrial,2014,6.07,natural_gas
Georgia,Industrial,2015,4.42,natural_gas
Georgia,Industrial,2016,4.13,natural_gas
